geoName,Covid,Covid19,ISO_contry_code,date
Anhui,0,0,CN,2020-05-01
Beijing,100,0,CN,2020-05-01
Chongqing,0,0,CN,2020-05-01
Fujian,0,0,CN,2020-05-01
Gansu,0,0,CN,2020-05-01
Guangdong,0,0,CN,2020-05-01
Guangxi,0,0,CN,2020-05-01
Guizhou,0,0,CN,2020-05-01
Hainan,0,0,CN,2020-05-01
Hebei,0,0,CN,2020-05-01
Heilongjiang,0,0,CN,2020-05-01
Henan,0,0,CN,2020-05-01
Hubei,0,0,CN,2020-05-01
Hunan,0,0,CN,2020-05-01
Inner Mongolia,0,0,CN,2020-05-01
Jiangsu,0,0,CN,2020-05-01
Jiangxi,0,0,CN,2020-05-01
Jilin,0,0,CN,2020-05-01
Liaoning,0,0,CN,2020-05-01
Ningxia,0,0,CN,2020-05-01
Qinghai,0,0,CN,2020-05-01
Shaanxi,0,0,CN,2020-05-01
Shandong,0,0,CN,2020-05-01
Shanghai,0,0,CN,2020-05-01
Shanxi,0,0,CN,2020-05-01
Sichuan,0,0,CN,2020-05-01
Tianjin,0,0,CN,2020-05-01
Tibet,0,0,CN,2020-05-01
Xinjiang,0,0,CN,2020-05-01
Yunnan,0,0,CN,2020-05-01
Zhejiang,0,0,CN,2020-05-01
Alabama,95,5,US,2020-05-01
Alaska,96,4,US,2020-05-01
Arizona,97,3,US,2020-05-01
Arkansas,94,6,US,2020-05-01
California,93,7,US,2020-05-01
Colorado,95,5,US,2020-05-01
Connecticut,95,5,US,2020-05-01
Delaware,95,5,US,2020-05-01
District of Columbia,98,2,US,2020-05-01
Florida,95,5,US,2020-05-01
Georgia,95,5,US,2020-05-01
Hawaii,96,4,US,2020-05-01
Idaho,98,2,US,2020-05-01
Illinois,96,4,US,2020-05-01
Indiana,97,3,US,2020-05-01
Iowa,94,6,US,2020-05-01
Kansas,97,3,US,2020-05-01
Kentucky,98,2,US,2020-05-01
Louisiana,96,4,US,2020-05-01
Maine,96,4,US,2020-05-01
Maryland,92,8,US,2020-05-01
Massachusetts,95,5,US,2020-05-01
Michigan,96,4,US,2020-05-01
Minnesota,96,4,US,2020-05-01
Mississippi,98,2,US,2020-05-01
Missouri,95,5,US,2020-05-01
Montana,98,2,US,2020-05-01
Nebraska,98,2,US,2020-05-01
Nevada,96,4,US,2020-05-01
New Hampshire,93,7,US,2020-05-01
